# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-21 07:25:40 522221225 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
   134     0.134000  0.018311366  0.000135988  0.945029552  0.326984932  0.000000000000056843 -31.745039018  14.818118261  31.745039018  0.000000999417078    89.726166 14.818118260926383 
   135     0.135000  0.018447354  0.000135999  0.945001016  0.327067395  0.000000000000000000 -31.745997630  13.472633929  31.745997630  0.000000999725073    89.613099 13.472633928902411 
   136     0.136000  0.018583353  0.000135945  0.944972455  0.327149903 -0.000000000000056843 -31.746957105  12.178256304  31.746957105  0.000000999075700    89.500140 12.178256304199664 
   137     0.137000  0.018719299  0.000135956  0.944943885  0.327232417  0.000000000000000000 -31.747916983  10.928279122  31.747916983  0.000000999377732    89.387344 10.928279122012441 
   138     0.138000  0.018855255  0.000135967  0.944915290  0.327314978  0.000000000000000000 -31.748877722   9.731964440  31.748877722  0.000000999678224    89.274658  9.731964439598784 
   139     0.139000  0.018991221  0.000135977  0.944886672  0.327397584  0.000000000000056843 -31.749839322   8.581532258  31.749839322  0.000000999977172    89.162081  8.581532258165936 
   140     0.140000  0.019127199  0.000135922  0.944858029  0.327480235  0.000000000000000000 -31.750801783   7.475361211  31.750801783  0.000000999308509    89.049613  7.475361210840248 
   141     0.141000  0.019263121  0.000135932  0.944829377  0.327562893  0.000000000000000000 -31.751764641   6.409030802  31.751764641  0.000000999601468    88.937308  6.409030802071669 
   142     0.142000  0.019399053  0.000135942  0.944800701  0.327645595  0.000000000000000000 -31.752728359   5.387669892  31.752728359  0.000000999892874    88.825113  5.387669891618430 
   143     0.143000  0.019534995  0.000135886  0.944772001  0.327728343  0.000000000000000000 -31.753692937   4.405936729  31.753692937  0.000000999208750    88.713028  4.405936728815618 
   144     0.144000  0.019670881  0.000135896  0.944743291  0.327811096 -0.000000000000056843 -31.754657905   3.460936701  31.754657905  0.000000999494147    88.601106  3.460936701138451 
   145     0.145000  0.019806777  0.000135905  0.944714557  0.327893895  0.000000000000000000 -31.755623731   2.555070377  31.755623731  0.000000999777983    88.489294  2.555070376946134 
   146     0.146000  0.019942682  0.000135848  0.944685799  0.327976738  0.000000000000056843 -31.756590416   1.684621420  31.756590416  0.000000999078401    88.377592  1.684621419844490 
   147     0.147000  0.020078530  0.000135857  0.944657032  0.328059586  0.000000000000000000 -31.757557485   0.848075132  31.757557485  0.000000999356210    88.266054  0.848075131813175 
   148     0.148000  0.020214387  0.000135866  0.944628241  0.328142478  0.000000000000000000 -31.758525410   0.045382553  31.758525410  0.000000999632447    88.154626  0.045382553476969 
   149     0.149000  0.020350253  0.000135875  0.944599426  0.328225416  0.000000000000056843 -31.759494193  -0.725704103  31.759494193  0.000000999907110    88.043307  0.725704102876534 
   150     0.150000  0.020486127  0.000135816  0.944570588  0.328308398  0.000000000000056843 -31.760463833  -1.466357220  31.760463833  0.000000999188229    87.932098  1.466357219527481 
   151     0.151000  0.020621944  0.000135825  0.944541740  0.328391384  0.000000000000000000 -31.761433850  -2.176458238  31.761433850  0.000000999456842    87.821054  2.176458237510559 
   152     0.152000  0.020757768  0.000135833  0.944512869  0.328474414  0.000000000000000000 -31.762404722  -2.858937686  31.762404722  0.000000999723871    87.710120  2.858937686450957 
   153     0.153000  0.020893601  0.000135841  0.944483973  0.328557489  0.000000000000000000 -31.763376450  -3.514306531  31.763376450  0.000000999989315    87.599296  3.514306530714606 
   154     0.154000  0.021029442  0.000135781  0.944455055  0.328640609  0.000000000000000000 -31.764349034  -4.143584313  31.764349034  0.000000999251132    87.488582  4.143584313428761 
   155     0.155000  0.021165224  0.000135789  0.944426126  0.328723731 -0.000000000000056843 -31.765321987  -4.745229577  31.765321987  0.000000999510501    87.378033  4.745229576798238 
   156     0.156000  0.021301013  0.000135797  0.944397175  0.328806898  0.000000000000000000 -31.766295793  -5.324667582  31.766295793  0.000000999768276    87.267594  5.324667581696474 
   157     0.157000  0.021436810  0.000135736  0.944368199  0.328890109  0.000000000000000000 -31.767270455  -5.880897705  31.767270455  0.000000999014648    87.157266  5.880897705420551 
   158     0.158000  0.021572546  0.000135743  0.944339215  0.328973322  0.000000000000000000 -31.768245478  -6.411432227  31.768245478  0.000000999266332    87.047103  6.411432227036329 
